frame,timestamp,class,confidence,track_id,x1,y1,x2,y2
28,1.12,Helmet,0.8163,23,1420,568,1477,630
28,1.12,No Helmet,0.4618,39,305,422,413,562
28,1.12,No Helmet,0.5235,44,1565,590,1613,646
28,1.12,Helmet,0.4201,40,1011,526,1061,587
29,1.16,Helmet,0.9212,1,433,279,612,489
29,1.16,Helmet,0.7097,23,1413,563,1476,632
29,1.16,No Helmet,0.6373,44,1564,589,1613,646
29,1.16,Helmet,0.2871,40,1012,525,1061,585
30,1.2,Helmet,0.9267,1,367,251,549,465
30,1.2,Helmet,0.7482,23,1409,560,1472,628
30,1.2,No Helmet,0.6488,44,1562,590,1611,646
30,1.2,Helmet,0.4655,40,1011,523,1061,585
30,1.2,No Helmet,0.5342,45,1191,561,1243,626
30,1.2,No Helmet,0.8216,39,199,404,312,550
31,1.24,Helmet,0.9326,1,295,221,483,441
31,1.24,Helmet,0.5122,23,1405,564,1464,627
31,1.24,No Helmet,0.363,44,1560,587,1610,645
31,1.24,Helmet,0.3825,40,1010,521,1062,584
31,1.24,Helmet,0.6537,39,134,396,252,549
32,1.28,Helmet,0.926,1,216,195,410,421
32,1.28,Helmet,0.4323,23,1394,569,1448,626
32,1.28,No Helmet,0.4019,44,1555,586,1606,645
33,1.32,Helmet,0.9227,1,125,167,328,404
33,1.32,Helmet,0.4034,23,1383,571,1432,624
33,1.32,No Helmet,0.346,44,1552,584,1604,643
34,1.36,Helmet,0.9342,1,33,143,237,380
34,1.36,Helmet,0.303,23,1376,571,1424,622
34,1.36,No Helmet,0.4504,44,1548,582,1599,642
34,1.36,No Helmet,0.6149,51,1141,552,1191,614
35,1.4,Helmet,0.8837,1,0,113,173,372
35,1.4,Helmet,0.6403,23,1364,573,1411,624
35,1.4,No Helmet,0.6923,44,1545,579,1598,641
35,1.4,Helmet,0.5066,51,1131,548,1180,611
36,1.44,No Helmet,0.5144,44,1543,576,1596,638
36,1.44,Helmet,0.4433,51,1114,549,1163,611
37,1.48,No Helmet,0.6442,44,1541,574,1594,636
37,1.48,Helmet,0.5875,51,1097,546,1149,612
37,1.48,Helmet,0.2686,40,1004,517,1058,582
37,1.48,Helmet,0.3871,23,1354,565,1406,621
38,1.52,No Helmet,0.6488,44,1538,573,1592,638
38,1.52,No Helmet,0.6322,51,1082,541,1136,609
38,1.52,Helmet,0.6792,40,1004,517,1056,580
39,1.56,No Helmet,0.7688,44,1535,571,1592,638
39,1.56,Helmet,0.6622,51,1069,537,1124,606
39,1.56,Helmet,0.775,40,1006,518,1058,581
