frame,class,confidence,x1,y1,x2,y2
1,Helmet,0.8946,1424,316,1565,494
1,Helmet,0.5294,2123,386,2295,574
2,Helmet,0.8896,269,277,475,503
2,Helmet,0.5723,2093,379,2249,566
2,Helmet,0.2747,49,255,266,444
3,Helmet,0.8826,308,277,516,507
4,Helmet,0.8491,341,269,547,509
4,Helmet,0.4631,53,254,260,412
5,Helmet,0.9107,385,256,611,512
5,Helmet,0.8801,1426,310,1565,481
5,Helmet,0.6555,1192,350,1332,495
5,Helmet,0.4864,942,373,1076,521
6,Helmet,0.8853,1423,310,1563,481
6,Helmet,0.7241,1920,370,2067,544
6,Helmet,0.6971,1191,349,1333,494
7,Helmet,0.8846,1422,311,1565,485
7,Helmet,0.8286,1895,347,2044,508
7,Helmet,0.5531,1190,348,1336,496
8,Helmet,0.4534,1857,342,1992,512
9,Helmet,0.7284,148,249,247,370
9,Helmet,0.6907,58,255,149,383
10,Helmet,0.7745,130,247,249,395
10,Helmet,0.6788,52,251,148,399
11,Helmet,0.8438,631,265,856,499
11,Helmet,0.7485,74,250,249,404
11,Helmet,0.5595,51,247,211,412
12,Helmet,0.8769,673,274,891,502
12,Helmet,0.8556,947,361,1081,516
12,Helmet,0.7422,61,244,253,409
13,Helmet,0.7365,81,242,246,393
13,Helmet,0.6068,1413,305,1556,481
13,Helmet,0.4495,721,284,905,496
14,Helmet,0.7227,98,243,247,386
14,Helmet,0.6074,1415,304,1558,482
14,Helmet,0.5123,751,257,967,496
14,Helmet,0.2863,952,354,1086,505
15,Helmet,0.8113,122,240,245,387
15,Helmet,0.7165,957,347,1086,496
15,Helmet,0.7029,764,251,990,497
15,Helmet,0.6543,1417,303,1557,479
15,Helmet,0.5826,1591,333,1791,518
15,Helmet,0.5814,487,219,597,354
15,Helmet,0.5626,866,284,1083,495
15,Helmet,0.3799,60,243,136,377
16,Helmet,0.8261,792,261,1033,499
16,Helmet,0.7689,125,242,245,391
16,Helmet,0.5628,57,246,137,375
16,Helmet,0.4856,488,220,598,355
16,Helmet,0.3804,1418,303,1557,468
17,Helmet,0.9054,872,274,1084,509
17,Helmet,0.7764,121,242,242,388
17,Helmet,0.6932,489,217,598,352
17,Helmet,0.6448,56,246,140,375
17,No Helmet,0.3107,1530,327,1670,480
18,Helmet,0.9147,919,276,1123,509
18,Helmet,0.7507,1488,325,1631,493
18,Helmet,0.7506,117,243,243,404
18,Helmet,0.7491,489,217,598,350
18,Helmet,0.5703,55,246,141,389
19,Helmet,0.9198,954,276,1179,512
19,Helmet,0.7344,75,247,235,395
19,No Helmet,0.6983,1425,313,1600,495
19,Helmet,0.5933,1425,315,1600,494
19,Helmet,0.5024,118,243,239,396
19,Helmet,0.4652,57,243,206,408
19,Helmet,0.3589,486,221,595,359
20,Helmet,0.9169,1420,314,1569,489
20,Helmet,0.8207,1001,283,1207,515
20,Helmet,0.7595,63,247,236,401
21,Helmet,0.8991,1385,312,1562,494
21,Helmet,0.7657,62,251,234,403
21,Helmet,0.7092,1046,284,1310,531
22,Helmet,0.8962,1092,280,1338,519
22,Helmet,0.8868,1362,313,1565,515
22,Helmet,0.7867,65,252,230,403
23,Helmet,0.9052,1134,269,1363,520
23,Helmet,0.8479,1382,310,1565,505
23,Helmet,0.6729,98,255,232,392
23,Helmet,0.5726,132,248,235,397
23,Helmet,0.4098,49,252,151,399
24,Helmet,0.8169,1412,305,1562,495
24,Helmet,0.8092,1172,280,1389,505
24,Helmet,0.7254,69,254,228,399
24,Helmet,0.4061,125,248,234,405
24,Helmet,0.3499,2463,768,2560,942
25,Helmet,0.8866,1188,274,1418,514
25,Helmet,0.7379,62,255,224,401
25,Helmet,0.6876,1403,300,1563,513
26,Helmet,0.907,1210,265,1486,513
26,Helmet,0.7536,61,253,223,401
26,Helmet,0.3311,478,221,588,364
27,Helmet,0.8584,1276,269,1562,508
27,Helmet,0.7856,477,219,587,358
27,Helmet,0.7741,60,247,225,403
27,Helmet,0.436,2341,728,2560,951
28,Helmet,0.9048,1325,274,1573,514
28,Helmet,0.8773,2312,726,2546,946
28,Helmet,0.8047,475,219,586,354
28,Helmet,0.7859,56,247,223,410
28,Helmet,0.2731,1181,335,1319,479
29,Helmet,0.9055,1367,274,1624,512
29,Helmet,0.8535,2278,716,2514,942
29,Helmet,0.7885,473,217,587,358
29,Helmet,0.7585,57,248,220,405
29,Helmet,0.6715,1159,332,1315,468
30,Helmet,0.8305,2250,720,2484,931
30,Helmet,0.761,58,251,216,414
30,Helmet,0.5699,471,220,588,366
31,Helmet,0.8201,2213,708,2454,917
31,Helmet,0.7247,50,250,212,431
31,Helmet,0.6458,1404,274,1734,498
31,Helmet,0.3547,1184,341,1323,463
31,Helmet,0.2964,470,220,588,363
32,Helmet,0.8257,2188,703,2427,913
32,Helmet,0.7857,1527,271,1776,500
32,Helmet,0.696,68,247,208,388
32,Helmet,0.6627,472,218,587,353
32,Helmet,0.3843,1184,336,1323,470
33,Helmet,0.8336,1576,257,1851,487
33,Helmet,0.805,1420,301,1563,477
33,Helmet,0.7906,1,294,200,588
33,Helmet,0.2989,471,215,588,353
34,Helmet,0.8642,1633,246,1926,475
34,Helmet,0.6644,7,304,242,593
34,Helmet,0.402,1421,300,1565,469
34,Helmet,0.3458,0,304,131,593
34,Helmet,0.2876,470,215,587,350
35,Helmet,0.8673,1683,237,1969,474
35,Helmet,0.6488,34,241,302,590
35,Helmet,0.5695,1420,300,1559,473
36,Helmet,0.8879,1728,234,2023,470
36,Helmet,0.8622,2424,332,2560,561
36,Helmet,0.6375,1419,297,1557,473
36,Helmet,0.5324,150,293,378,592
36,Helmet,0.4442,933,291,1048,444
36,Helmet,0.4297,50,251,190,407
36,No Helmet,0.3733,160,296,368,586
37,Helmet,0.9188,1779,245,2047,493
37,Helmet,0.856,892,295,1021,438
37,Helmet,0.8445,2400,340,2560,559
37,Helmet,0.7835,46,249,201,416
37,Helmet,0.6895,1419,296,1557,471
