frame,class,confidence,x1,y1,x2,y2
9,No Helmet,0.2933,3,504,34,545
93,No Helmet,0.3416,34,495,66,537
94,No Helmet,0.6781,22,491,55,534
96,No Helmet,0.4916,0,494,27,533
161,No Helmet,0.6945,304,467,329,497
163,No Helmet,0.3077,296,467,321,494
165,No Helmet,0.2554,285,466,311,493
166,Helmet,0.2857,284,469,309,496
168,No Helmet,0.273,276,467,302,496
172,Helmet,0.3568,259,465,284,493
173,Helmet,0.3454,251,468,277,496
175,No Helmet,0.4532,230,467,251,494
176,No Helmet,0.7446,229,466,252,496
177,No Helmet,0.5282,226,465,249,494
179,No Helmet,0.7952,213,463,244,499
180,No Helmet,0.7901,201,463,238,501
181,No Helmet,0.7135,200,463,226,498
182,No Helmet,0.7155,199,462,223,496
183,No Helmet,0.8325,183,459,214,495
184,No Helmet,0.7985,178,460,211,501
185,No Helmet,0.7846,176,459,207,494
186,No Helmet,0.5149,170,458,205,495
187,No Helmet,0.2574,165,462,196,493
188,No Helmet,0.259,154,465,181,498
189,No Helmet,0.4859,141,461,167,493
190,No Helmet,0.8136,133,459,165,498
190,No Helmet,0.4027,100,471,132,499
190,No Helmet,0.3294,102,475,129,502
191,No Helmet,0.6502,132,459,157,496
191,No Helmet,0.412,105,474,132,502
192,No Helmet,0.7809,121,460,154,502
193,No Helmet,0.7723,113,460,145,499
194,No Helmet,0.864,105,462,134,499
200,No Helmet,0.2902,222,463,243,490
201,No Helmet,0.4999,40,462,75,499
201,No Helmet,0.3316,221,461,241,491
202,No Helmet,0.4771,153,456,178,488
203,No Helmet,0.6718,129,477,153,504
203,No Helmet,0.6219,155,457,181,490
203,No Helmet,0.2551,131,474,155,502
204,No Helmet,0.6146,156,456,181,489
204,No Helmet,0.3763,130,478,152,504
205,No Helmet,0.4484,1,460,32,497
205,No Helmet,0.259,134,479,156,505
219,No Helmet,0.3533,182,459,209,491
220,No Helmet,0.5049,181,458,211,493
221,No Helmet,0.4307,184,458,216,496
224,No Helmet,0.4848,189,460,218,499
251,Only Helmet,0.6752,82,453,328,740
252,Only Helmet,0.6846,82,452,326,745
253,Only Helmet,0.8139,82,456,321,750
254,Only Helmet,0.5215,81,459,307,750
255,Only Helmet,0.3333,81,460,304,750
256,Only Helmet,0.904,80,457,304,756
259,Only Helmet,0.3063,60,456,297,746
260,Only Helmet,0.3322,51,452,290,738
267,Helmet,0.4848,274,476,300,506
268,Helmet,0.7335,271,480,297,509
