frame,class,confidence,x1,y1,x2,y2
15,Helmet,0.3803,178,431,198,452
16,Helmet,0.3569,178,431,197,452
17,Helmet,0.4779,168,432,187,454
18,Helmet,0.2661,167,433,186,454
19,Helmet,0.6408,159,438,178,459
20,Helmet,0.6249,159,438,178,459
21,Helmet,0.7737,155,438,176,461
22,Helmet,0.7851,155,439,175,461
23,Helmet,0.6677,153,439,173,460
24,Helmet,0.6801,152,439,173,460
25,Helmet,0.677,152,439,173,461
26,Helmet,0.6381,146,439,165,463
27,Helmet,0.6361,146,439,165,463
28,Helmet,0.759,135,438,158,464
29,Helmet,0.7584,135,438,158,464
30,Helmet,0.8268,129,439,152,465
30,Helmet,0.3235,155,444,171,466
31,Helmet,0.8153,129,439,152,465
31,Helmet,0.383,155,444,171,466
32,Helmet,0.739,122,439,145,464
33,Helmet,0.7348,122,439,145,464
34,Helmet,0.8169,112,439,136,465
35,Helmet,0.8233,112,438,136,465
36,Helmet,0.808,103,439,128,468
37,Helmet,0.8069,103,439,128,468
38,Helmet,0.8183,92,438,119,468
39,Helmet,0.8123,92,438,119,468
40,No Helmet,0.5136,78,438,108,470
41,No Helmet,0.4842,78,438,108,470
42,Helmet,0.8373,67,437,95,470
43,Helmet,0.7725,51,438,84,473
44,Helmet,0.7695,51,438,84,473
45,Helmet,0.8702,36,437,67,473
46,Helmet,0.8707,36,438,67,473
47,Helmet,0.8615,22,437,55,472
48,Helmet,0.8612,22,436,55,471
49,Helmet,0.5559,1,435,38,475
50,Helmet,0.5783,1,434,39,474
51,Helmet,0.5989,0,440,19,465
52,Helmet,0.6271,0,440,19,465
53,Helmet,0.3038,0,463,24,488
67,Helmet,0.2794,285,432,296,450
68,Helmet,0.3661,285,432,296,450
69,Helmet,0.3996,284,432,296,450
70,Helmet,0.403,284,432,295,450
71,Helmet,0.4697,282,432,296,451
72,Helmet,0.4719,282,432,296,451
73,Helmet,0.4148,282,432,295,451
74,Helmet,0.4502,282,432,296,451
75,Helmet,0.5358,280,432,296,452
76,Helmet,0.5376,280,432,295,452
77,Helmet,0.6208,277,431,294,452
78,Helmet,0.6119,277,431,294,452
79,Helmet,0.5956,277,432,294,453
80,Helmet,0.56,277,432,294,453
81,Helmet,0.4404,277,432,294,453
82,Helmet,0.5155,277,431,294,452
83,Helmet,0.5535,277,431,294,451
84,Helmet,0.5389,277,431,294,451
85,Helmet,0.5214,277,431,293,451
86,Helmet,0.524,277,431,293,451
87,Helmet,0.6607,276,430,293,451
88,Helmet,0.6576,276,430,293,451
89,Helmet,0.6726,274,430,293,452
90,Helmet,0.6649,274,430,293,452
91,Helmet,0.6377,273,427,293,451
92,Helmet,0.6336,273,427,293,451
93,Helmet,0.5394,274,429,293,452
94,Helmet,0.5506,274,429,293,452
95,Helmet,0.4189,273,428,292,451
96,Helmet,0.4678,273,428,292,451
96,Helmet,0.263,267,432,284,453
97,Helmet,0.4538,266,432,282,453
98,Helmet,0.4523,266,432,282,453
99,Helmet,0.5172,262,432,280,454
100,Helmet,0.5506,263,431,280,454
