frame,class,confidence,x1,y1,x2,y2
31,No Helmet,0.3453,204,464,234,498
32,No Helmet,0.311,204,464,234,498
57,Helmet,0.3177,1,596,18,616
58,Helmet,0.252,1,596,18,616
59,Helmet,0.3827,1,597,19,617
60,Helmet,0.3573,1,596,19,617
61,Helmet,0.4773,3,597,19,617
62,Helmet,0.4774,3,597,19,617
63,Helmet,0.5168,3,596,19,617
64,Helmet,0.5349,3,596,19,616
65,Helmet,0.2955,3,597,19,618
67,Helmet,0.2571,5,597,21,618
68,Helmet,0.263,5,598,21,618
114,Helmet,0.3038,0,572,18,598
115,Helmet,0.4521,0,572,18,597
116,Helmet,0.3785,0,572,18,598
117,Helmet,0.3825,0,571,18,596
118,Helmet,0.3814,0,570,18,596
119,Helmet,0.4148,0,570,18,594
120,Helmet,0.4027,0,569,18,592
121,Helmet,0.3696,0,570,18,593
122,Helmet,0.3233,0,570,18,595
123,Helmet,0.3323,0,570,19,594
124,Helmet,0.2973,0,570,18,595
125,Helmet,0.4656,0,569,19,594
126,Helmet,0.4212,0,568,19,594
127,Helmet,0.3363,0,568,19,594
137,Helmet,0.2648,1,567,20,590
151,Helmet,0.304,0,566,18,589
152,Helmet,0.2672,0,568,18,589
153,Helmet,0.2797,0,569,18,590
154,Helmet,0.2644,0,569,19,589
190,No Helmet,0.2913,100,456,132,490
243,Helmet,0.3489,85,543,113,577
251,Helmet,0.3971,86,542,116,578
295,No Helmet,0.511,73,498,101,531
296,No Helmet,0.4042,73,496,103,530
297,No Helmet,0.5268,74,495,104,529
313,No Helmet,0.2696,81,491,111,522
314,No Helmet,0.3762,81,490,110,522
